,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
0,Tolaga Bay,-38.3667,178.3,55.74,76,94,12.88,NZ,
1,Beringovskiy,63.05,179.3167,-1.14,92,100,21.09,RU,
2,Punta Arenas,-53.15,-70.9167,62.6,48,20,35.68,CL,
3,Rikitea,-23.1203,-134.9692,78.21,69,100,10.87,PF,
4,Hilo,19.7297,-155.09,66.2,82,90,10.54,US,
5,Hithadhoo,-0.6,73.0833,82.6,75,72,10.71,MV,
6,Toora-Khem,52.4675,96.11,14.56,94,100,3.24,RU,
7,Albany,42.6001,-73.9662,35.01,52,5,1.99,US,
8,Asau,46.4333,26.4,51.8,62,20,9.22,RO,
9,Mar Del Plata,-38.0023,-57.5575,73.4,53,0,18.41,AR,
10,Havre-Saint-Pierre,50.2334,-63.5986,33.8,93,90,3.44,CA,
11,Mataura,-46.1927,168.8643,40.57,93,44,3.22,NZ,
12,Margate,51.3813,1.3862,46.99,86,92,1.99,GB,
13,Roma,43.2128,-75.4557,33.01,59,1,9.22,US,
14,Hermanus,-34.4187,19.2345,72.0,72,38,4.0,ZA,
15,Kapaa,22.0752,-159.319,62.6,77,90,4.61,US,
16,Cape Town,-33.9258,18.4232,73.99,68,0,26.46,ZA,
17,Busselton,-33.65,115.3333,55.99,65,0,14.09,AU,
18,Harlow,51.7766,0.1116,46.0,100,90,9.22,GB,
19,Pervomayskoye,43.919,46.7102,44.6,84,21,4.38,RU,
20,Nikolskoye,59.7035,30.7861,10.4,85,20,13.42,RU,
21,Cayenne,4.9333,-52.3333,84.2,65,90,17.27,GF,
22,Moose Factory,51.2585,-80.6094,26.6,74,1,9.22,CA,
23,Bredasdorp,-34.5322,20.0403,73.4,56,84,11.5,ZA,
24,Cabo San Lucas,22.8909,-109.9124,73.4,38,20,2.3,MX,
25,Broome,42.2506,-75.833,33.01,74,1,12.66,US,
26,Sabang,5.8933,95.3214,81.43,75,1,19.17,ID,
27,Kaitangata,-46.2817,169.8464,50.0,76,0,3.0,NZ,
28,Barrow,71.2906,-156.7887,-27.4,68,1,10.36,US,
29,Vaini,-21.2,-175.2,77.0,100,75,2.3,TO,
30,Butaritari,3.0707,172.7902,80.26,84,100,14.27,KI,
31,La Rioja,42.25,-2.5,59.0,67,40,8.05,ES,
32,Jamestown,42.097,-79.2353,34.0,80,20,5.75,US,
33,Ancud,-41.8697,-73.8203,80.01,53,0,10.36,CL,
34,Puerto Ayora,-0.7393,-90.3518,84.2,65,0,17.27,EC,
35,Khatanga,71.9667,102.5,-30.37,79,0,9.31,RU,
36,Caravelas,-17.7125,-39.2481,86.2,54,0,10.89,BR,
37,Nouadhibou,20.931,-17.0347,69.8,68,20,17.27,MR,
38,Tiarei,-17.5333,-149.3333,75.2,88,20,2.3,PF,
39,San Policarpo,12.1791,125.5072,79.77,84,7,16.82,PH,
40,Laguna,38.421,-121.4238,45.0,75,1,4.61,US,
41,Nantucket,41.2835,-70.0995,34.0,80,90,14.97,US,
42,Yulara,-25.2406,130.9889,71.6,64,90,12.66,AU,
43,Mount Gambier,-37.8333,140.7667,55.4,100,90,19.57,AU,
44,Matara,5.9485,80.5353,76.19,81,97,5.99,LK,
45,Victoria Point,-27.5833,153.3,72.0,88,20,5.75,AU,
46,Kahului,20.8947,-156.47,66.2,88,90,5.75,US,
47,San Cristobal,7.7669,-72.225,89.6,40,20,4.61,VE,
48,Sungaipenuh,-2.0833,101.3833,65.14,95,100,3.11,ID,
49,Port Hedland,-20.3167,118.5667,82.4,89,40,12.66,AU,
